Time(s)	Displ(microns)	Friction	EffectiveNormalstress(MPa)
11110.144000	3550.974000	0.498268	30.006269
11110.280000	3551.196000	0.497892	30.006237
11110.416000	3551.500000	0.498028	30.007043
11110.542000	3551.763000	0.497934	30.006083
11110.718000	3552.228000	0.498076	30.006483
11110.874000	3552.431000	0.497462	30.007018
11111.000000	3552.714000	0.497497	30.007126
11111.136000	3553.159000	0.497889	30.006344
11111.262000	3553.301000	0.498316	30.006744
11111.398000	3553.665000	0.497305	30.008147
11111.534000	3553.949000	0.497546	30.008300
11111.690000	3554.394000	0.497016	30.007383
11111.816000	3554.657000	0.496590	30.006002
11111.952000	3554.738000	0.496286	30.007030
11112.078000	3554.981000	0.496450	30.006427
11112.214000	3555.163000	0.496823	30.006608
11112.350000	3555.608000	0.496248	30.006154
11112.476000	3555.770000	0.496621	30.006437
11112.612000	3555.932000	0.496273	30.007844
11112.748000	3556.336000	0.496699	30.009263
11112.904000	3556.620000	0.495971	30.010867
11113.030000	3556.782000	0.495840	30.010826
11113.166000	3557.126000	0.496148	30.010545
11113.292000	3557.449000	0.496557	30.011890
11113.438000	3557.510000	0.495889	30.011280
11113.564000	3557.692000	0.495220	30.010770
11113.700000	3558.056000	0.495910	30.010274
11113.836000	3558.117000	0.495858	30.010023
11113.972000	3558.542000	0.495982	30.009463
11114.108000	3558.846000	0.495310	30.012871
11114.234000	3558.906000	0.495696	30.011492
11114.370000	3559.271000	0.495729	30.010750
11114.506000	3559.695000	0.495333	30.011659
11114.642000	3559.979000	0.495958	30.010606
11114.778000	3559.999000	0.495564	30.009561
11114.914000	3560.505000	0.496216	30.007117
11115.050000	3560.485000	0.496570	30.005440
11115.196000	3561.152000	0.495329	30.002393
11115.342000	3560.991000	0.495790	30.000108
11115.478000	3561.436000	0.495555	29.998702
11115.604000	3561.982000	0.495776	29.998108
11115.730000	3561.962000	0.496014	29.998517
11115.866000	3562.124000	0.495725	29.999798
11115.992000	3562.528000	0.496219	29.998739
11116.128000	3562.569000	0.496319	29.997497
11116.274000	3563.034000	0.495403	29.998926
11116.410000	3563.621000	0.495779	29.998038
11116.536000	3563.844000	0.495693	29.997515
11116.682000	3563.905000	0.495147	29.996382
11116.808000	3564.532000	0.495431	29.993446
11116.944000	3564.613000	0.494986	29.993923
11117.080000	3564.694000	0.495344	29.992985
11117.216000	3564.977000	0.495598	29.990615
11117.362000	3565.078000	0.495437	29.990140
11117.498000	3565.442000	0.496180	29.990760
11117.624000	3565.746000	0.495694	29.990546
11117.750000	3566.009000	0.495546	29.991424
11117.886000	3566.394000	0.495719	29.993182
11118.022000	3566.434000	0.495812	29.992375
11118.188000	3566.798000	0.496678	29.992552
11118.324000	3567.061000	0.495348	29.994874
11118.450000	3567.243000	0.495491	29.995350
11118.576000	3567.405000	0.495747	29.995828
11118.712000	3567.891000	0.495915	29.997811
11118.838000	3567.911000	0.495673	29.998626
11118.974000	3567.972000	0.496333	29.998678
11119.110000	3568.660000	0.495079	29.999987
11119.256000	3568.741000	0.495357	29.999273
11119.382000	3568.943000	0.496260	29.999401
11119.508000	3569.429000	0.495394	29.998239
11119.644000	3569.469000	0.495383	29.997724
11119.780000	3569.894000	0.495133	29.996886
11119.936000	3569.773000	0.495010	29.995372
11120.062000	3570.056000	0.495324	29.995697
11120.208000	3570.218000	0.495578	29.996182
11120.334000	3570.825000	0.495302	29.995678
11120.470000	3571.108000	0.495826	29.996855
11120.596000	3571.452000	0.495659	29.996703
11120.742000	3571.837000	0.495193	29.995428
11120.868000	3571.776000	0.495160	29.997125
11120.994000	3572.201000	0.495646	29.998367
11121.130000	3572.565000	0.495459	29.998312
11121.276000	3572.667000	0.495782	29.999218
11121.412000	3572.869000	0.494953	30.001013
11121.538000	3573.516000	0.494945	30.001470
11121.684000	3573.861000	0.495535	30.003181
11121.840000	3573.618000	0.495989	30.002249
11121.966000	3573.962000	0.495837	30.002296
11122.092000	3574.265000	0.495730	30.001156
11122.228000	3574.407000	0.495639	29.999164
