Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11620.200000	8541.102000	0.606696	19.968735
11620.300000	8541.356000	0.607450	19.969444
11620.400000	8541.736000	0.606739	19.968839
11620.500000	8541.989000	0.605783	19.969104
11620.600000	8542.281000	0.606390	19.969071
11620.700000	8542.579000	0.606132	19.968766
11620.800000	8542.873000	0.605744	19.968823
11620.900000	8543.153000	0.606182	19.969628
11621.000000	8543.496000	0.606937	19.968971
11621.100000	8543.779000	0.606989	19.969595
11621.200000	8544.061000	0.606755	19.968593
11621.300000	8544.432000	0.607974	19.969424
11621.400000	8544.562000	0.607289	19.968934
11621.500000	8545.043000	0.608522	19.968938
11621.600000	8545.280000	0.608111	19.968982
11621.700000	8545.598000	0.606853	19.968889
11621.800000	8545.840000	0.606836	19.968698
11621.900000	8546.223000	0.607781	19.969741
11622.000000	8546.448000	0.606754	19.968442
11622.100000	8546.830000	0.607987	19.969058
11622.200000	8547.029000	0.607157	19.969214
11622.300000	8547.424000	0.608066	19.968786
11622.400000	8547.644000	0.607402	19.968947
11622.500000	8548.006000	0.606278	19.969370
11622.600000	8548.266000	0.607252	19.968814
11622.700000	8548.581000	0.607469	19.968836
11622.800000	8548.867000	0.606678	19.968929
11622.900000	8549.218000	0.607187	19.968730
11623.000000	8549.450000	0.607563	19.968944
11623.100000	8549.733000	0.607664	19.968783
11623.200000	8550.109000	0.607862	19.969067
11623.300000	8550.389000	0.608371	19.969026
11623.400000	8550.668000	0.608059	19.969536
11623.500000	8551.023000	0.607403	19.968757
11623.600000	8551.231000	0.607654	19.968693
11623.700000	8551.635000	0.607555	19.968793
11623.800000	8551.842000	0.608052	19.968714
11623.900000	8552.187000	0.607785	19.969057
11624.000000	8552.543000	0.606527	19.967876
11624.100000	8552.738000	0.606818	19.969426
11624.200000	8553.077000	0.607029	19.968823
11624.300000	8553.358000	0.607225	19.968225
11624.400000	8553.690000	0.607311	19.969165
11624.500000	8554.022000	0.607167	19.969096
11624.600000	8554.303000	0.606961	19.968921
11624.700000	8554.553000	0.606743	19.969042
11624.800000	8554.866000	0.606424	19.968086
11624.900000	8555.172000	0.606695	19.968922
11625.000000	8555.479000	0.607443	19.969169
11625.100000	8555.780000	0.606964	19.968935
11625.200000	8556.081000	0.607739	19.969156
11625.300000	8556.382000	0.607468	19.968921
11625.400000	8556.648000	0.607313	19.968553
11625.500000	8556.993000	0.607133	19.968925
11625.600000	8557.263000	0.607808	19.968748
11625.700000	8557.618000	0.607293	19.968664
11625.800000	8557.830000	0.607532	19.968919
11625.900000	8558.194000	0.607695	19.969067
11626.000000	8558.526000	0.607825	19.968634
11626.100000	8558.777000	0.606378	19.969051
11626.200000	8559.094000	0.606108	19.968700
11626.300000	8559.359000	0.606772	19.969101
11626.400000	8559.698000	0.606917	19.968754
11626.500000	8559.913000	0.607288	19.969051
11626.600000	8560.285000	0.608565	19.968811
11626.700000	8560.578000	0.607078	19.969326
11626.800000	8560.908000	0.607971	19.969155
11626.900000	8561.139000	0.607601	19.969218
11627.000000	8561.528000	0.607606	19.968872
11627.100000	8561.744000	0.607352	19.968532
11627.200000	8562.087000	0.606831	19.968942
11627.300000	8562.424000	0.606811	19.968912
11627.400000	8562.721000	0.606803	19.968474
11627.500000	8562.939000	0.605805	19.968025
11627.600000	8563.301000	0.606551	19.969241
11627.700000	8563.569000	0.606082	19.968628
11627.800000	8563.899000	0.606042	19.968715
11627.900000	8564.141000	0.606598	19.969318
11628.000000	8564.456000	0.607520	19.968487
11628.100000	8564.825000	0.607273	19.968964
11628.200000	8565.099000	0.607298	19.968488
11628.300000	8565.399000	0.607427	19.969369
11628.400000	8565.644000	0.607900	19.967827
11628.500000	8565.991000	0.607187	19.969965
11628.600000	8566.328000	0.607130	19.968977
11628.700000	8566.555000	0.606031	19.968292
11628.800000	8566.908000	0.606273	19.968810
11628.900000	8567.123000	0.606864	19.969350
11629.000000	8567.521000	0.607236	19.968453
11629.100000	8567.803000	0.606582	19.968878
11629.200000	8568.050000	0.606065	19.968707
11629.300000	8568.396000	0.607191	19.968370
11629.400000	8568.714000	0.606763	19.968777
11629.500000	8568.992000	0.606544	19.969176
11629.600000	8569.242000	0.607017	19.969061
11629.700000	8569.564000	0.607882	19.968662
11629.800000	8569.890000	0.608196	19.968613
11629.900000	8570.201000	0.608988	19.968787
11630.000000	8570.486000	0.607131	19.968507
11630.100000	8570.751000	0.607199	19.968598
11630.200000	8571.098000	0.607757	19.969214
11630.300000	8571.415000	0.607597	19.968384
11630.400000	8571.626000	0.607743	19.968957
11630.500000	8571.990000	0.608635	19.968899
11630.600000	8572.293000	0.608769	19.967785
11630.700000	8572.652000	0.607461	19.969156
11630.800000	8572.865000	0.606893	19.968940
11630.900000	8573.167000	0.607395	19.968458
11631.000000	8573.500000	0.608011	19.968567
11631.100000	8573.747000	0.607519	19.968816
11631.200000	8574.109000	0.607587	19.968592
11631.300000	8574.358000	0.606947	19.968579
11631.400000	8574.754000	0.607148	19.968943
11631.500000	8574.957000	0.606171	19.968521
11631.600000	8575.281000	0.607097	19.968841
11631.700000	8575.542000	0.607723	19.969368
11631.800000	8575.941000	0.607495	19.968597
11631.900000	8576.162000	0.607189	19.968964
11632.000000	8576.525000	0.607453	19.968235
11632.100000	8576.785000	0.606014	19.968971
11632.200000	8577.064000	0.606307	19.968482
11632.300000	8577.359000	0.607137	19.968482
11632.400000	8577.733000	0.606885	19.969116
11632.500000	8577.936000	0.607165	19.968377
11632.600000	8578.302000	0.607887	19.968223
11632.700000	8578.575000	0.607570	19.968582
11632.800000	8578.910000	0.607071	19.968580
11632.900000	8579.139000	0.607076	19.968573
11633.000000	8579.461000	0.607958	19.968255
11633.100000	8579.813000	0.608582	19.969466
11633.200000	8580.127000	0.607616	19.968763
11633.300000	8580.334000	0.607270	19.968110
11633.400000	8580.677000	0.607519	19.968492
11633.500000	8580.988000	0.607843	19.968522
11633.600000	8581.267000	0.607175	19.968764
11633.700000	8581.638000	0.606434	19.969092
11633.800000	8581.865000	0.607137	19.968235
11633.900000	8582.142000	0.608222	19.968809
11634.000000	8582.446000	0.608255	19.968623
11634.100000	8582.822000	0.608416	19.968463
11634.200000	8583.107000	0.608740	19.968635
11634.300000	8583.369000	0.608699	19.968007
11634.400000	8583.674000	0.607934	19.968760
11634.500000	8584.007000	0.608231	19.968568
11634.600000	8584.334000	0.607681	19.969064
11634.700000	8584.505000	0.607047	19.968198
11634.800000	8584.930000	0.607769	19.968778
11634.900000	8585.182000	0.606923	19.967961
11635.000000	8585.467000	0.607531	19.969235
11635.100000	8585.787000	0.607862	19.968461
11635.200000	8586.113000	0.607723	19.968354
11635.300000	8586.400000	0.607772	19.968360
11635.400000	8586.668000	0.607624	19.968354
11635.500000	8586.963000	0.607262	19.968165
11635.600000	8587.324000	0.606865	19.968668
11635.700000	8587.592000	0.607006	19.968622
11635.800000	8587.864000	0.606919	19.968643
11635.900000	8588.181000	0.607168	19.967997
11636.000000	8588.510000	0.607055	19.968884
11636.100000	8588.806000	0.607311	19.968754
11636.200000	8589.067000	0.606330	19.968213
11636.300000	8589.384000	0.606975	19.968671
11636.400000	8589.679000	0.607401	19.968987
11636.500000	8590.020000	0.606898	19.968424
11636.600000	8590.245000	0.607544	19.968788
11636.700000	8590.599000	0.607130	19.968491
11636.800000	8590.895000	0.608169	19.968123
11636.900000	8591.154000	0.608130	19.968610
11637.000000	8591.476000	0.607519	19.968650
11637.100000	8591.870000	0.607268	19.968335
11637.200000	8592.066000	0.605993	19.969180
11637.300000	8592.385000	0.607079	19.968403
11637.400000	8592.729000	0.606486	19.968764
11637.500000	8592.961000	0.606211	19.968083
11637.600000	8593.239000	0.606650	19.968776
11637.700000	8593.601000	0.607459	19.968307
11637.800000	8593.932000	0.607305	19.969145
11637.900000	8594.143000	0.607219	19.968445
11638.000000	8594.501000	0.608565	19.968689
11638.100000	8594.787000	0.608396	19.968229
11638.200000	8595.650000	0.608033	19.968429
11638.300000	8596.287000	0.607970	19.969126
11638.400000	8596.575000	0.608437	19.968556
11638.500000	8596.903000	0.607867	19.968342
11638.600000	8597.211000	0.608893	19.968772
11638.700000	8597.445000	0.607093	19.968493
11638.800000	8597.788000	0.608005	19.968396
11638.900000	8598.112000	0.607626	19.968899
11639.000000	8598.334000	0.607451	19.968739
11639.100000	8598.751000	0.607785	19.968069
11639.200000	8598.957000	0.607590	19.968828
11639.300000	8599.279000	0.606933	19.968692
11639.400000	8599.584000	0.607606	19.968596
11639.500000	8599.891000	0.607607	19.968688
11639.600000	8600.213000	0.606319	19.968502
11639.700000	8600.447000	0.607297	19.968338
11639.800000	8600.759000	0.607339	19.968532
11639.900000	8601.110000	0.607698	19.968862
11640.000000	8601.408000	0.607691	19.968697
11640.100000	8601.671000	0.607342	19.968493
11640.200000	8601.976000	0.607443	19.968860
11640.300000	8602.325000	0.606818	19.968320
11640.400000	8602.573000	0.606509	19.968348
11640.500000	8602.898000	0.606219	19.968502
11640.600000	8603.137000	0.607095	19.969206
11640.700000	8603.506000	0.607659	19.968152
