Time(s)	Displ(microns)	Friction	EffectiveNormalstress(MPa)
8105.381000	1554.674000	0.536278	29.999476
8105.527000	1554.937000	0.534628	29.999805
8105.663000	1554.654000	0.535406	29.997889
8105.789000	1554.836000	0.535728	29.997837
8105.925000	1554.917000	0.535294	29.997764
8106.061000	1554.998000	0.535810	29.996558
8106.197000	1554.715000	0.534955	29.995767
8106.333000	1554.796000	0.535500	29.995837
8106.459000	1554.897000	0.535680	29.995269
8106.585000	1554.695000	0.535631	29.994001
8106.711000	1554.998000	0.535029	29.994668
8106.837000	1554.917000	0.534708	29.995492
8106.973000	1554.917000	0.534784	29.993642
8107.119000	1555.200000	0.535021	29.994824
8107.255000	1554.958000	0.535599	29.993353
8107.401000	1555.200000	0.534580	29.993222
8107.537000	1555.079000	0.535195	29.993551
8107.673000	1555.018000	0.534847	29.993887
8107.799000	1554.978000	0.535118	29.994464
8107.925000	1555.261000	0.535683	29.995380
8108.051000	1555.018000	0.535410	29.998506
8108.187000	1555.079000	0.534542	29.999406
8108.313000	1555.302000	0.535131	30.001067
8108.449000	1555.018000	0.535282	30.001095
8108.585000	1555.443000	0.534885	30.001126
8108.731000	1555.261000	0.534677	30.000263
8108.897000	1555.241000	0.534995	29.999559
8109.033000	1555.423000	0.534575	29.996267
8109.169000	1555.140000	0.535449	29.995133
8109.305000	1554.897000	0.535344	29.994736
8109.441000	1555.484000	0.535399	29.994791
8109.577000	1555.443000	0.534771	29.995008
8109.713000	1555.200000	0.535170	29.994909
8109.849000	1555.747000	0.535568	29.994826
8109.985000	1555.565000	0.534917	29.996122
8110.121000	1555.342000	0.534926	29.995647
8110.247000	1555.585000	0.535000	29.996621
8110.393000	1555.585000	0.535493	29.996582
8110.519000	1555.383000	0.535449	29.996876
8110.655000	1555.747000	0.535236	29.996262
8110.791000	1555.443000	0.535951	29.995567
8110.937000	1555.848000	0.535627	29.995759
8111.063000	1555.808000	0.535023	29.997608
8111.199000	1555.787000	0.534860	29.999174
8111.335000	1555.808000	0.534526	30.001664
8111.491000	1555.727000	0.535417	30.002456
8111.617000	1555.969000	0.535327	30.004923
8111.743000	1556.091000	0.534674	30.008170
8111.879000	1556.071000	0.534909	30.010476
8112.015000	1556.030000	0.534883	30.009929
8112.151000	1555.848000	0.534793	30.008773
8112.277000	1556.212000	0.535218	30.006477
8112.413000	1555.929000	0.535308	30.006588
8112.549000	1556.111000	0.534611	30.003734
8112.685000	1556.232000	0.534525	30.002323
8112.821000	1556.253000	0.534887	29.999403
8112.967000	1556.232000	0.535460	29.998158
8113.123000	1555.969000	0.535161	29.997104
8113.249000	1556.050000	0.536089	29.998666
8113.375000	1556.192000	0.535244	29.997520
8113.521000	1556.091000	0.535231	29.998083
8113.657000	1556.273000	0.535766	29.998651
8113.783000	1556.374000	0.535006	30.000680
8113.909000	1556.253000	0.535014	30.002082
8114.035000	1556.415000	0.535525	30.002029
8114.171000	1556.172000	0.535795	30.001773
8114.307000	1556.334000	0.534539	30.001329
8114.453000	1556.172000	0.535173	29.999020
8114.579000	1556.455000	0.535234	29.998863
8114.715000	1556.516000	0.535290	29.995362
8114.861000	1556.354000	0.535558	29.993383
8114.987000	1556.536000	0.535708	29.993448
8115.123000	1556.192000	0.535447	29.992439
8115.249000	1556.738000	0.535453	29.993093
8115.395000	1556.597000	0.535029	29.993491
8115.531000	1556.981000	0.535385	29.992749
8115.667000	1556.779000	0.535902	29.993297
8115.793000	1556.678000	0.536133	29.993101
8115.929000	1556.637000	0.535768	29.991593
8116.065000	1556.961000	0.535032	29.993381
8116.201000	1556.759000	0.535230	29.994805
8116.337000	1556.556000	0.535637	29.992530
8116.483000	1557.042000	0.535831	29.993204
8116.619000	1556.637000	0.535710	29.996305
8116.745000	1556.637000	0.535782	29.996589
8116.891000	1556.900000	0.535373	29.999090
8117.017000	1556.880000	0.535600	30.001805
8117.153000	1557.082000	0.535464	30.002082
8117.279000	1557.082000	0.535217	30.003054
8117.425000	1557.325000	0.534183	30.005623
8117.561000	1557.305000	0.534479	30.005017
8117.697000	1557.042000	0.534972	30.006661
8117.823000	1557.082000	0.535545	30.004583
8117.959000	1556.880000	0.534865	30.003658
8118.095000	1557.345000	0.534731	30.001843
8118.231000	1557.366000	0.534151	29.999670
8118.387000	1557.082000	0.534515	29.996649
8118.513000	1557.204000	0.535604	29.993293
8118.639000	1557.568000	0.535446	29.990038
8118.765000	1557.224000	0.535489	29.987935
8118.891000	1557.467000	0.535256	29.988222
8119.017000	1557.163000	0.534754	29.986987
8119.143000	1557.548000	0.535761	29.986801
8119.299000	1557.710000	0.534871	29.986077
8119.435000	1557.224000	0.535436	29.988858
8119.561000	1557.204000	0.534790	29.989957
8119.687000	1557.568000	0.534835	29.988730
8119.813000	1557.264000	0.535513	29.989723
8119.949000	1557.568000	0.534717	29.992498
8120.075000	1557.487000	0.534659	29.990672
8120.201000	1557.507000	0.534789	29.990742
8120.327000	1557.730000	0.534388	29.993609
8120.463000	1557.264000	0.535079	29.995693
